,0,1,2
0,Centro de Ensino Médio 03 do Gama,-15.859826499999999,-48.0398128
1,CENTRO EDUCACIONAL IRMÃ MARIA REGINA VELANES REGIS,-15.675196,-48.102954399999994
2,CENTRO DE ENSINO FUNDAMENTAL 04 DE SOBRADINHO,-15.6462579,-47.7787698
3,CENTRO DE EDUCAÇÃO INFANTIL 01 DE SOBRADINHO,-15.6601991,-47.8053749
4,CENTRO DE ENSINO FUNDAMENTAL 18 DE CEILÂNDIA,-15.8374069,-48.115587
5,CENTRO DE ENSINO MÉDIO 417 DE SANTA MARIA,-16.0117473,-47.9911199
6,ESCOLA CLASSE 510 DE SAMAMBAIA,-15.932640399999999,-48.1068722
7,Centro de Ensino Fundamental Metropolitana,-15.881564599999999,-47.9748532
8,CENTRO DE ENSINO FUNDAMENTAL 418 DE SANTA MARIA,-16.0143391,-47.986523899999995
9,CENTRO DE ENSINO MÉDIO ELEFANTE BRANCO,-15.8080404,-47.9095042
10,ESCOLA CLASSE 13 DE PLANALTINA,-15.603467499999999,-47.6425105
11,CENTRO DE ENSINO FUNDAMENTAL 05 DE SOBRADINHO,-15.643754,-47.7976627
12,CENTRO DE ENSINO MÉDIO SETOR LESTE,-15.830772999999999,-47.906248999999995
13,CENTRO DE ENSINO FUNDAMENTAL ATHOS BULCÃO,-15.7936245,-47.9417433
14,CENTRO DE ENSINO FUNDAMENTAL 504 DE SAMAMBAIA,-15.882515699999999,-48.0786696
15,CENTRO DE ENSINO FUNDAMENTAL CASEB,-15.810333799999999,-47.9127674
16,CENTRO DE ENSINO FUNDAMENTAL 11 DO GAMA,-16.027825699999998,-48.069366699999996
17,CENTRO EDUCACIONAL CASA GRANDE,-15.767990699999999,-47.8927933
18,CENTRO DE ENSINO MÉDIO 111 DO RECANTO DAS EMAS,-15.9203821,-48.058374099999995
19,CAIC UNESCO,-15.901773299999999,-47.773509499999996
20,ESCOLA CLASSE 218 DE SANTA MARIA,-16.0069444,-47.987777799999996
21,CENTRO DE ENSINO FUNDAMENTAL 14 DE TAGUATINGA,-15.818822299999999,-48.0637762
22,ESCOLA CLASSE 419 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
23,ESCOLA CLASSE 11 DE PLANALTINA,-15.6033519,-47.6459866
24,ESCOLA CLASSE 28 DE CEILÂNDIA,-16.0069941,-48.082864
25,ESCOLA CLASSE 13 DE CEILÂNDIA,-15.7981871,-48.111641899999995
26,CENTRO DE ENSINO FUNDAMENTAL JATAÍ,-16.0196093,-47.8007201
27,ESCOLA CLASSE 56 DE CEILÂNDIA,-15.832993,-48.1320124
28,CENTRO DE ENSINO MÉDIO TAGUATINGA NORTE,-15.8194033,-48.0663008
29,ESCOLA CLASSE 01 DE TAGUATINGA,-15.835668199999999,-48.062185199999995
30,JARDIM DE INFÂNCIA 404 NORTE,-15.775236099999999,-47.876503
31,ESCOLA CLASSE 27 DE CEILÂNDIA,-15.832993,-48.1320124
32,ESCOLA CLASSE 27 DE TAGUATINGA,-15.862146599999999,-48.000821599999995
